address,type,x-text
0x46df58,string,"Requested feature was omitted at compile time"
0x46df88,string,"Not implemented yet"
0x46df9c,string,"Invalid color quantization mode change"
0x46dfc4,string,"Scan script does not transmit all data"
0x46dfec,string,"Cannot transcode due to multiple use of quantization table %d"
0x46e02c,string,"Premature end of input file"
0x46e048,string,"Empty input file"
0x46e05c,string,"Maximum supported image dimension is %u pixels"
0x46e08c,string,"Missing Huffman code table entry"
0x46e0b0,string,"Huffman code size table overflow"
0x46e0d4,string,"Fractional sampling not implemented yet"
0x46e0fc,string,"Output file write error --- out of disk space?"
0x46e12c,string,"Input file read error"
0x46e144,string,"Didn\'t expect more than one scan"
0x46e168,string,"Write to EMS failed"
0x46e17c,string,"Read from EMS failed"
0x46e194,string,"Empty JPEG image (DNL not supported)"
0x46e1bc,string,"Bogus DQT index %d"
0x46e1d0,string,"Bogus DHT index %d"
0x46e1e4,string,"Bogus DHT counts"
0x46e1f8,string,"Bogus DAC value 0x%x"
0x46e210,string,"Bogus DAC index %d"
0x46e224,string,"Unsupported color conversion request"
0x46e24c,string,"Too many color components: %d, max %d"
0x46e274,string,"CCIR601 sampling not implemented yet"
0x46e29c,string,"Suspension not allowed here"
0x46e2b8,string,"Buffer passed to JPEG library is too small"
0x46e2e4,string,"Bogus virtual array access"
0x46e300,string,"JPEG parameter struct mismatch: library thinks size is %u, caller expects %u"
0x46e350,string,"Improper call to JPEG library in state %d"
0x46e37c,string,"Invalid scan script at entry %d"
0x46e39c,string,"Bogus sampling factors"
0x46e3b4,string,"Invalid progressive parameters at scan script entry %d"
0x46e3ec,string,"Invalid progressive parameters Ss=%d Se=%d Ah=%d Al=%d"
0x46e424,string,"Unsupported JPEG data precision %d"
0x46e448,string,"Invalid memory pool code %d"
0x46e464,string,"Sampling factors too large for interleaved scan"
0x46e494,string,"Wrong JPEG library version: library is %d, caller expects %d"
0x46e4d4,string,"Bogus marker length"
0x46e4e8,string,"Bogus JPEG colorspace"
0x46e500,string,"Bogus input colorspace"
0x46e518,string,"IDCT output block size %d not supported"
0x46e540,string,"Invalid component ID %d in SOS"
0x46e560,string,"Bogus buffer control mode"
0x46e57c,string,"MAX_ALLOC_CHUNK is wrong, please fix"
0x46e5a4,string,"ALIGN_TYPE is wrong, please fix"
0x46e5c4,string,"Sorry, there are legal restrictions on arithmetic coding"
0x46e600,string,"Bogus message code %d"
0x46e618,string,"0123456789ABCDEF1.0.5"
0x46e6a4,string,"zlib version error"
0x46e6b8,string,"zlib memory error"
0x46e6cc,string,"Unknown zlib error"
0x46e6e0,string,"1.1.3"
0x46e6e8,string,"Incompatible libpng version in application and library"
0x46e720,string,"Missing PLTE before IDAT"
0x46e73c,string,"Missing IHDR before IDAT"
0x46e758,string,"PNG file corrupted by ASCII conversion"
0x46e780,string,"Not a PNG file"
0x46e790,string,"Extra compressed data"
0x46e7a8,string,"Decompression error"
0x46e7bc,string,"Not enough image data"
0x46e7d4,string,"Invalid attempt to read row data"
0x46e7f8,string,"Width too large for libpng to process image data."
0x46e84e,string,"p?png_do_dither returned rowbytes=0"
0x46e874,string,"NULL row buffer"
0x46e884,string,"Width too large to process image data; rowbytes will overflow."
0x46e8cf,string,"?Call to NULL read function"
0x46e8ec,string,"same structure.  Resetting write_data_fn to NULL."
0x46e920,string,"It\'s an error to set both read_data_fn and write_data_fn in the "
0x46ebc0,string,"need dictionary"
0x46ebd0,string,"incorrect data check"
0x46ebe8,string,"incorrect header check"
0x46ec00,string,"invalid window size"
0x46ec14,string,"unknown compression method"
0x46ec30,string,"Out of Memory"
0x46ecb8,string,"invalid chunk type"
0x46eccc,string,"Ignoring bad adaptive filter type"
0x46ecf0,string,"CRC error"
0x46ecfc,string,"Unknown filter method in IHDR"
0x46ed1c,string,"Unknown compression method in IHDR"
0x46ed40,string,"Unknown interlace method in IHDR"
0x46ed64,string,"Invalid color type/bit depth combination in IHDR"
0x46ed98,string,"Invalid color type in IHDR"
0x46edb4,string,"Invalid bit depth in IHDR"
0x46edd0,string,"Invalid image size in IHDR"
0x46edec,string,"Invalid IHDR chunk"
0x46ee00,string,"Out of place IHDR"
0x46ee14,string,"Truncating incorrect tRNS chunk length"
0x46ee3c,string,"Invalid palette chunk"
0x46ee54,string,"Duplicate PLTE chunk"
0x46ee6c,string,"Invalid PLTE after IDAT"
0x46ee84,string,"Missing IHDR before PLTE"
0x46eea0,string,"Incorrect IEND chunk length"
0x46eebc,string,"No image in file"
0x46eed0,string,"Ignoring incorrect gAMA value when sRGB is also present"
0x46ef17,string,"@Duplicate gAMA chunk"
0x46ef30,string,"Out of place gAMA chunk"
0x46ef48,string,"Invalid gAMA after IDAT"
0x46ef60,string,"Incorrect gAMA chunk length"
0x46ef7c,string,"Missing IHDR before gAMA"
0x46ef9b,string,"GUnknown sRGB intent"
0x46efb0,string,"Duplicate sRGB chunk"
0x46efc8,string,"Out of place sRGB chunk"
0x46efe0,string,"Invalid sRGB after IDAT"
0x46eff8,string,"Incorrect sRGB chunk length"
0x46f014,string,"Missing IHDR before sRGB"
0x46f030,string,"tRNS chunk not allowed with alpha channel"
0x46f05c,string,"Incorrect tRNS chunk length"
0x46f078,string,"Duplicate tRNS chunk"
0x46f090,string,"Invalid tRNS after IDAT"
0x46f0a8,string,"Zero length tRNS chunk"
0x46f0c0,string,"Missing PLTE before tRNS"
0x46f0dc,string,"Missing IHDR before tRNS"
